observer,genotype,time_off_food_min,bends,additive,food,date,plate,...9,...10
JB,N2,5,5,NA,OP50,2021-06-02,1,NA,NA
JB,N2,5,6,NA,OP50,2021-06-02,1,NA,NA
JB,N2,5,2,NA,OP50,2021-06-02,1,NA,NA
JB,N2,5,6,NA,OP50,2021-06-02,1,NA,NA
JB,N2,5,3,NA,OP50,2021-06-02,1,NA,NA
JB,N2,5,4,NA,OP50,2021-06-02,1,NA,NA
JB,N2,5,4,NA,OP50,2021-06-02,1,NA,NA
JB,N2,5,4,NA,OP50,2021-06-02,1,NA,NA
JB,N2,5,4,NA,OP50,2021-06-02,1,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,6,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-02,2,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-02,2,NA,NA
JB,N2,5,5,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,7,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,2,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,5,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,4,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,8,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,2,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,3,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,3,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,6,NA,OP50,2021-06-16,11,NA,NA
JB,N2,5,4,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,4,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,3,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,8,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,5,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,4,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,4,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,4,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,3,NA,OP50,2021-06-16,12,NA,NA
JB,N2,5,5,NA,OP50,2021-06-16,12,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,11,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-16,13,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,6,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,7,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-06-16,14,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,15,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,7,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,6,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-06-25,16,NA,NA
JB,cest-1.2,5,7,NA,OP50,2021-06-25,16,NA,NA
JB,N2,5,3,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,4,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,3,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,5,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,6,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,8,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,3,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,4,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,4,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,3,NA,OP50,2021-06-25,17,NA,NA
JB,N2,5,4,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,5,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,7,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,4,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,3,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,5,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,5,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,5,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,5,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,6,NA,OP50,2021-06-25,18,NA,NA
JB,N2,5,3,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,4,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,2,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,4,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,2,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,4,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,4,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,2,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,5,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,5,NA,OP50,2021-07-08,43,NA,NA
JB,N2,5,4,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,6,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,3,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,3,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,3,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,1,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,4,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,3,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,2,NA,OP50,2021-07-08,44,NA,NA
JB,N2,5,3,NA,OP50,2021-07-08,44,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-08,47,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-08,48,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-08,48,NA,NA
JB,N2,5,3,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,4,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,2,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,4,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,4,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,7,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,5,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,3,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,3,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,3,NA,OP50,2021-07-14,65,NA,NA
JB,N2,5,3,NA,OP50,2021-07-14,66,NA,NA
JB,N2,5,3,NA,OP50,2021-07-14,66,NA,NA
JB,N2,5,4,NA,OP50,2021-07-14,66,NA,NA
JB,N2,5,4,NA,OP50,2021-07-14,66,NA,NA
JB,N2,5,4,NA,OP50,2021-07-14,66,NA,NA
JB,N2,5,3,NA,OP50,2021-07-14,66,NA,NA
JB,N2,5,7,NA,OP50,2021-07-14,66,NA,NA
JB,N2,5,5,NA,OP50,2021-07-14,66,NA,NA
JB,N2,5,2,NA,OP50,2021-07-14,66,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,7,NA,OP50,2021-07-14,67,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-14,68,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-14,68,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-14,68,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-14,68,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-14,68,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-14,68,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-14,68,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-14,68,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-14,68,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,7,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,2,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,6,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,77,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,6,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,7,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,82,NA,NA
JB,N2,5,7,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,6,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,6,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,6,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,5,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,5,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,5,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,8,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,5,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,2,NA,OP50,2021-08-11,118,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-08-11,120,NA,NA
JB,N2,5,4,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,4,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,2,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,6,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,2,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,8,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,4,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,5,NA,OP50,2021-10-26,142,NA,NA
JB,N2,5,3,NA,OP50,2021-10-26,142,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,143,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-10-26,144,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-10-26,144,NA,NA
